470,14.00,8,100
471,62.00,6,100
472,3.00,6,82
473,9.00,7,62
474,17.00,9,100
475,21.00,8,100
476,9.00,6,22
477,41.00,6,100
478,0.00,8,82
479,2.00,5,5
480,2.00,8,82
481,10.00,5,5
482,2.00,6,42
483,0.00,6,42
484,5.00,6,6
485,13.00,6,100
486,5.00,5,42
487,8.00,8,82
488,1.00,6,62
489,41.00,7,100
490,15.00,7,100
491,9.00,6,42
492,20.00,6,100
493,46.00,9,100
494,0.00,5,22
495,53.00,7,100
496,2.00,6,82
497,7.00,6,22
498,24.00,9,100
499,28.00,8,100
500,8.00,7,62
501,80.00,6,100
502,11.00,8,100
503,10.00,8,62
504,4.00,7,62
505,13.00,8,100
506,26.00,9,100
507,3.00,8,82
508,8.00,5,62
509,30.00,8,100
510,5.00,5,22
511,2.00,8,62
512,12.00,9,100
513,2.00,7,82
514,14.00,7,100
515,46.00,7,100
516,27.00,8,100
517,45.00,8,100
518,11.00,6,100
519,25.00,7,100
520,10.00,8,62
521,7.00,5,42
522,1.00,9,82
523,1.00,7,42
524,35.00,6,100
525,6.00,4,4
526,0.00,7,62
527,43.00,8,100
528,9.00,4,4
529,45.00,7,100
530,39.00,7,100
531,6.00,4,4
532,58.00,7,100
533,2.00,4,4
534,14.00,9,100
535,0.00,7,62
536,5.00,6,6
537,3.00,8,82
538,7.00,7,62
539,9.00,5,82
540,22.00,5,100
541,25.00,8,100
542,8.00,7,42
543,5.00,4,4
544,12.00,5,100
545,0.00,6,62
546,9.00,3,3
547,55.00,8,100
548,43.00,7,100
549,10.00,4,5
550,29.00,7,100
551,34.00,7,100
552,47.00,8,100
553,39.00,8,100
554,37.00,7,100
555,30.00,8,100
556,19.00,7,100
557,32.00,6,100
558,2.00,6,22
559,13.00,4,100
560,60.00,7,100
561,21.00,8,100
562,2.00,7,82
563,38.00,5,100
564,9.00,7,62
565,19.00,8,100
566,18.00,8,100
567,71.00,7,100
568,20.00,7,100
569,10.00,6,62
570,59.00,8,100
571,41.00,8,100
572,4.00,5,82
573,8.00,6,42
574,78.00,6,100
575,20.00,6,100
576,16.00,10,100
577,9.00,8,62
578,2.00,4,4
579,29.00,8,100
580,6.00,9,62
581,53.00,6,100
582,15.00,7,100
583,25.00,7,100
584,6.00,9,83
585,79.00,7,100
586,30.00,9,100
587,12.00,7,100
588,8.00,3,3
589,15.00,7,100
590,6.00,6,62
591,0.00,4,4
592,11.00,6,100
593,37.00,7,100
594,16.00,6,100
595,82.00,7,100
596,9.00,6,42
597,7.00,7,62
598,70.00,6,100
599,53.00,6,100
600,9.00,4,4
601,26.00,7,100
602,7.00,4,4
603,14.00,7,100
604,23.00,7,100
605,54.00,6,100
606,18.00,7,100
607,2.00,4,22
608,80.00,5,100
609,10.00,5,22
610,70.00,7,100
611,8.00,7,62
612,5.00,5,5
613,2.00,6,82
614,10.00,7,62
615,4.00,7,82
616,1.00,7,62
617,7.00,7,82
618,17.00,7,100
619,12.00,6,100
620,22.00,5,100
621,84.00,5,100
622,4.00,5,5
623,47.00,6,100
624,36.00,6,100
625,1.00,6,82
626,10.00,6,82
627,7.00,5,42
628,45.00,7,100
